ba 吧 ba
bei 呗 bei
biàn 便 biàn
biàn 卞 biàn
biàn 变 biàn
biàn 弁 biàn
biàn 忭 biàn
biàn 抃 biàn
biàn 昪 biàn
biàn 汴 biàn
biàn 苄 biàn
biàn 辨 biàn
biàn 辩 biàn
biàn 辫 biàn
biàn 遍 biàn
biàn 𨚕 biàn
biào 俵 biào
biào 鳔 biào
bié 别 bié
bié 咇 bié
bié 蹩 bié
biē 憋 biē
biē 鳖 biē
biě 瘪 biě
biān 煸 biān
biān 砭 biān
biān 笾 biān
biān 编 biān
biān 蝙 biān
biān 边 biān
biān 鞭 biān
biān 鳊 biān
biǎn 匾 biǎn
biǎn 扁 biǎn
biǎn 碥 biǎn
biǎn 萹 biǎn
biǎn 褊 biǎn
biǎn 贬 biǎn
biāo 儦 biāo
biāo 幖 biāo
biāo 彪 biāo
biāo 摽 biāo
biāo 杓 biāo
biāo 标 biāo
biāo 瀌 biāo
biāo 熛 biāo
biāo 瘭 biāo
biāo 脿 biāo
biāo 膘 biāo
biāo 蔈 biāo
biāo 藨 biāo
biāo 镖 biāo
biāo 镳 biāo
biāo 飑 biāo
biāo 飙 biāo
biāo 骉 biāo
biāo 骠 biāo
biǎo 婊 biǎo
biǎo 表 biǎo
biǎo 裱 biǎo
bo 卜 bo
bà 坝 bà
bà 灞 bà
bà 爸 bà
bà 罢 bà
bà 耙 bà
bà 霸 bà
bà 鲅 bà
bà 鲌 bà
bài 拜 bài
bài 稗 bài
bài 败 bài
bàn 伴 bàn
bàn 办 bàn
bàn 半 bàn
bàn 扮 bàn
bàn 拌 bàn
bàn 柈 bàn
bàn 湴 bàn
bàn 瓣 bàn
bàn 绊 bàn
bàn 靽 bàn
bàng 傍 bàng
bàng 塝 bàng
bàng 搒 bàng
bàng 棒 bàng
bàng 棓 bàng
bàng 玤 bàng
bàng 磅 bàng
bàng 蒡 bàng
bàng 蚌 bàng
bàng 谤 bàng
bàng 镑 bàng
bào 报 bào
bào 抱 bào
bào 暴 bào
bào 爆 bào
bào 豹 bào
bào 趵 bào
bào 鲍 bào
bá 妭 bá
bá 拔 bá
bá 胈 bá
bá 菝 bá
bá 跋 bá
bá 魃 bá
bái 白 bái
báo 薄 báo
báo 雹 báo
bèi 倍 bèi
bèi 备 bèi
bèi 孛 bèi
bèi 悖 bèi
bèi 惫 bèi
bèi 焙 bèi
bèi 狈 bèi
bèi 琲 bèi
bèi 碚 bèi
bèi 糒 bèi
bèi 背 bèi
bèi 蓓 bèi
bèi 被 bèi
bèi 褙 bèi
bèi 贝 bèi
bèi 辈 bèi
bèi 邶 bèi
bèi 鐾 bèi
bèi 钡 bèi
bèi 鞁 bèi
bèi 鞴 bèi
bèn 倴 bèn
bèn 坋 bèn
bèn 坌 bèn
bèn 笨 bèn
bèng 泵 bèng
bèng 甏 bèng
bèng 蹦 bèng
bèng 迸 bèng
bèng 镚 bèng
béng 甭 béng
bì 佖 bì
bì 哔 bì
bì 坒 bì
bì 壁 bì
bì 婢 bì
bì 嬖 bì
bì 币 bì
bì 庇 bì
bì 庳 bì
bì 弊 bì
bì 弼 bì
bì 必 bì
bì 愎 bì
bì 敝 bì
bì 毕 bì
bì 毖 bì
bì 毙 bì
bì 滗 bì
bì 濞 bì
bì 狴 bì
bì 珌 bì
bì 璧 bì
bì 畀 bì
bì 痹 bì
bì 皕 bì
bì 碧 bì
bì 筚 bì
bì 箅 bì
bì 篦 bì
bì 臂 bì
bì 苾 bì
bì 荜 bì
bì 萆 bì
bì 蓖 bì
bì 蔽 bì
bì 薜 bì
bì 裨 bì
bì 襞 bì
bì 觱 bì
bì 诐 bì
bì 赑 bì
bì 跸 bì
bì 避 bì
bì 邲 bì
bì 铋 bì
bì 闭 bì
bì 陛 bì
bì 馝 bì
bì 髀 bì
bìn 摈 bìn
bìn 殡 bìn
bìn 膑 bìn
bìn 髌 bìn
bìn 鬓 bìn
bìng 并 bìng
bìng 病 bìng
bí 荸 bí
bí 鼻 bí
bò 檗 bò
bó 亳 bó
bó 伯 bó
bó 僰 bó
bó 勃 bó
bó 博 bó
bó 帛 bó
bó 搏 bó
bó 欂 bó
bó 浡 bó
bó 渤 bó
bó 礴 bó
bó 箔 bó
bó 脖 bó
bó 膊 bó
bó 舶 bó
bó 袯 bó
bó 踣 bó
bó 钹 bó
bó 铂 bó
bó 镈 bó
bó 馞 bó
bó 驳 bó
bó 鹁 bó
bù 不 bù
bù 埔 bù
bù 埗 bù
bù 埠 bù
bù 布 bù
bù 怖 bù
bù 步 bù
bù 瓿 bù
bù 簿 bù
bù 蔀 bù
bù 部 bù
bù 钚 bù
bù 𫐓 bù
bú 醭 bú
bā 八 bā
bā 叭 bā
bā 岜 bā
bā 巴 bā
bā 扒 bā
bā 捌 bā
bā 朳 bā
bā 疤 bā
bā 笆 bā
bā 粑 bā
bā 羓 bā
bā 芭 bā
bā 蚆 bā
bā 鲃 bā
bī 逼 bī
bī 鲾 bī
bō 剥 bō
bō 哱 bō
bō 啵 bō
bō 嶓 bō
bō 拨 bō
bō 播 bō
bō 波 bō
bō 玻 bō
bō 砵 bō
bō 菠 bō
bō 钵 bō
bō 饽 bō
bō 𬭛 bō
bū 晡 bū
bū 逋 bū
bū 𬷕 bū
bǎ 把 bǎ
bǎ 钯 bǎ
bǎ 靶 bǎ
bǐ 俾 bǐ
bǐ 匕 bǐ
bǐ 吡 bǐ
bǐ 妣 bǐ
bǐ 彼 bǐ
bǐ 比 bǐ
bǐ 沘 bǐ
bǐ 秕 bǐ
bǐ 笔 bǐ
bǐ 舭 bǐ
bǐ 鄙 bǐ
bǒ 簸 bǒ
bǒ 跛 bǒ
bǔ 卟 bǔ
bǔ 哺 bǔ
bǔ 捕 bǔ
bǔ 补 bǔ
bāi 掰 bāi
bāi 擘 bāi
bēi 卑 bēi
bēi 悲 bēi
bēi 杯 bēi
bēi 椑 bēi
bēi 碑 bēi
bēi 陂 bēi
bēi 鹎 bēi
běi 北 běi
bǎi 佰 bǎi
bǎi 捭 bǎi
bǎi 摆 bǎi
bǎi 柏 bǎi
bǎi 百 bǎi
bān 扳 bān
bān 搬 bān
bān 攽 bān
bān 斑 bān
bān 班 bān
bān 瘢 bān
bān 癍 bān
bān 般 bān
bān 颁 bān
bān 𨭉 bān
bēn 奔 bēn
bēn 栟 bēn
bēn 犇 bēn
bēn 贲 bēn
bēn 锛 bēn
běn 本 běn
běn 畚 běn
běn 苯 běn
bīn 傧 bīn
bīn 宾 bīn
bīn 彬 bīn
bīn 斌 bīn
bīn 槟 bīn
bīn 滨 bīn
bīn 濒 bīn
bīn 玢 bīn
bīn 缤 bīn
bīn 豳 bīn
bīn 邠 bīn
bīn 镔 bīn
bǎn 坂 bǎn
bǎn 昄 bǎn
bǎn 板 bǎn
bǎn 版 bǎn
bǎn 钣 bǎn
bǎn 阪 bǎn
bāng 帮 bāng
bāng 梆 bāng
bāng 浜 bāng
bāng 邦 bāng
bāng 𠳐 bāng
bēng 嘣 bēng
bēng 崩 bēng
bēng 祊 bēng
bēng 绷 bēng
běng 琫 běng
bīng 兵 bīng
bīng 冰 bīng
bǎng 榜 bǎng
bǎng 绑 bǎng
bǎng 膀 bǎng
bǐng 丙 bǐng
bǐng 摒 bǐng
bǐng 昺 bǐng
bǐng 柄 bǐng
bǐng 炳 bǐng
bǐng 禀 bǐng
bǐng 秉 bǐng
bǐng 蛃 bǐng
bǐng 邴 bǐng
bǐng 饼 bǐng
bāo 包 bāo
bāo 孢 bāo
bāo 枹 bāo
bāo 煲 bāo
bāo 胞 bāo
bāo 苞 bāo
bāo 褒 bāo
bāo 龅 bāo
bǎo 保 bǎo
bǎo 堡 bǎo
bǎo 宝 bǎo
bǎo 葆 bǎo
bǎo 褓 bǎo
bǎo 饱 bǎo
bǎo 鸨 bǎo
