qià 恰 qià
qiàn 倩 qiàn
qiàn 欠 qiàn
qiàn 茜 qiàn
qián 乾 qián
qián 前 qián
qiáo 乔 qiáo
qiáo 侨 qiáo
qiáo 桥 qiáo
qiáo 荞 qiáo
qióng 琼 qióng
qiú 求 qiú
qiú 裘 qiú
qiě 且 qiě
qiū 丘 qiū
qiū 秋 qiū
qiān 仟 qiān
qiān 千 qiān
qiān 牵 qiān
qiān 芊 qiān
qiān 谦 qiān
qiǎo 巧 qiǎo
quán 全 quán
quán 权 quán
quán 泉 quán
què 确 què
què 雀 què
què 鹊 què
qìng 庆 qìng
qí 其 qí
qí 奇 qí
qí 琦 qí
qí 琪 qí
qí 齐 qí
qín 琴 qín
qín 秦 qín
qín 芹 qín
qíng 晴 qíng
qù 去 qù
qī 七 qī
qǐ 企 qǐ
qǐ 启 qǐ
qǔ 取 qǔ
qīn 亲 qīn
qīn 钦 qīn
qīng 清 qīng
qīng 青 qīng
qǐng 顷 qǐng
