ruán 堧 ruán
ruì 枘 ruì
ruì 汭 ruì
ruì 瑞 ruì
ruì 睿 ruì
ruì 芮 ruì
ruì 蚋 ruì
ruì 锐 ruì
ruí 蕤 ruí
ruò 偌 ruò
ruò 弱 ruò
ruò 爇 ruò
ruò 箬 ruò
ruò 若 ruò
ruò 蒻 ruò
ruò 鄀 ruò
ruǐ 蕊 ruǐ
ruǎn 媆 ruǎn
ruǎn 瓀 ruǎn
ruǎn 软 ruǎn
ruǎn 阮 ruǎn
ràng 让 ràng
rào 绕 rào
rán 然 rán
rán 燃 rán
rán 蚺 rán
rán 髯 rán
ráng 儴 ráng
ráng 瀼 ráng
ráng 瓤 ráng
ráng 禳 ráng
ráng 穰 ráng
ráng 蘘 ráng
ráo 娆 ráo
ráo 桡 ráo
ráo 荛 ráo
ráo 饶 ráo
rè 热 rè
rèn 仞 rèn
rèn 任 rèn
rèn 刃 rèn
rèn 妊 rèn
rèn 纫 rèn
rèn 纴 rèn
rèn 葚 rèn
rèn 衽 rèn
rèn 认 rèn
rèn 讱 rèn
rèn 轫 rèn
rèn 韧 rèn
rèn 饪 rèn
rén 人 rén
rén 仁 rén
rén 壬 rén
réng 仍 réng
rì 日 rì
rì 驲 rì
ròu 肉 ròu
róng 容 róng
róng 嵘 róng
róng 戎 róng
róng 榕 róng
róng 溶 róng
róng 熔 róng
róng 狨 róng
róng 瑢 róng
róng 绒 róng
róng 荣 róng
róng 蓉 róng
róng 蝾 róng
róng 融 róng
róng 镕 róng
róu 揉 róu
róu 柔 róu
róu 糅 róu
róu 蹂 róu
róu 鞣 róu
rù 入 rù
rù 洳 rù
rù 溽 rù
rù 缛 rù
rù 蓐 rù
rù 褥 rù
rùn 润 rùn
rùn 闰 rùn
rú 儒 rú
rú 嚅 rú
rú 如 rú
rú 嬬 rú
rú 孺 rú
rú 濡 rú
rú 茹 rú
rú 薷 rú
rú 蠕 rú
rú 襦 rú
rú 铷 rú
rú 颥 rú
rě 惹 rě
rǔ 乳 rǔ
rǔ 汝 rǔ
rǔ 辱 rǔ
rěn 忍 rěn
rěn 稔 rěn
rěn 荏 rěn
rǎn 䎃 rǎn
rǎn 冉 rǎn
rǎn 染 rǎn
rǎn 苒 rǎn
rēng 扔 rēng
rōng 茸 rōng
rǎng 嚷 rǎng
rǎng 壤 rǎng
rǎng 攘 rǎng
rǒng 冗 rǒng
rǎo 扰 rǎo
