shang 裳 shang
shi 匙 shi
shuài 帅 shuài
shuài 蟀 shuài
shuàn 涮 shuàn
shuàn 腨 shuàn
shuì 帨 shuì
shuì 睡 shuì
shuì 税 shuì
shuò 妁 shuò
shuò 搠 shuò
shuò 朔 shuò
shuò 槊 shuò
shuò 烁 shuò
shuò 硕 shuò
shuò 蒴 shuò
shuò 铄 shuò
shuā 刷 shuā
shuā 唰 shuā
shuō 说 shuō
shuǎ 耍 shuǎ
shuǐ 水 shuǐ
shuāi 摔 shuāi
shuāi 衰 shuāi
shuǎi 甩 shuǎi
shuān 拴 shuān
shuān 栓 shuān
shuān 闩 shuān
shuāng 双 shuāng
shuāng 孀 shuāng
shuāng 礵 shuāng
shuāng 霜 shuāng
shuāng 骦 shuāng
shuāng 鹴 shuāng
shuǎng 爽 shuǎng
shà 厦 shà
shà 唼 shà
shà 啥 shà
shà 歃 shà
shà 霎 shà
shài 晒 shài
shàn 剡 shàn
shàn 善 shàn
shàn 墡 shàn
shàn 嬗 shàn
shàn 扇 shàn
shàn 掞 shàn
shàn 擅 shàn
shàn 汕 shàn
shàn 疝 shàn
shàn 缮 shàn
shàn 膳 shàn
shàn 蟮 shàn
shàn 讪 shàn
shàn 赡 shàn
shàn 鄯 shàn
shàn 骟 shàn
shàn 鳝 shàn
shàn 𫮃 shàn
shàng 上 shàng
shàng 尚 shàng
shàng 绱 shàng
shào 劭 shào
shào 哨 shào
shào 潲 shào
shào 睄 shào
shào 绍 shào
shào 邵 shào
sháo 勺 sháo
sháo 柖 sháo
sháo 玿 sháo
sháo 芍 sháo
sháo 苕 sháo
sháo 韶 sháo
shè 厍 shè
shè 射 shè
shè 慑 shè
shè 摄 shè
shè 歙 shè
shè 涉 shè
shè 滠 shè
shè 社 shè
shè 设 shè
shè 赦 shè
shè 麝 shè
shèn 慎 shèn
shèn 椹 shèn
shèn 渗 shèn
shèn 瘆 shèn
shèn 肾 shèn
shèn 胂 shèn
shèn 蜃 shèn
shèng 剩 shèng
shèng 圣 shèng
shèng 嵊 shèng
shèng 盛 shèng
shèng 胜 shèng
shé 佘 shé
shé 舌 shé
shé 蛇 shé
shéi 谁 shéi
shén 什 shén
shén 甚 shén
shén 神 shén
shén 𬬹 shén
shéng 绳 shéng
shì 䏡 shì
shì 世 shì
shì 事 shì
shì 仕 shì
shì 似 shì
shì 侍 shì
shì 势 shì
shì 嗜 shì
shì 噬 shì
shì 士 shì
shì 奭 shì
shì 媞 shì
shì 室 shì
shì 市 shì
shì 式 shì
shì 弑 shì
shì 恃 shì
shì 拭 shì
shì 是 shì
shì 柿 shì
shì 栻 shì
shì 氏 shì
shì 示 shì
shì 筮 shì
shì 舐 shì
shì 螫 shì
shì 襫 shì
shì 视 shì
shì 誓 shì
shì 识 shì
shì 试 shì
shì 谥 shì
shì 豉 shì
shì 贳 shì
shì 轼 shì
shì 适 shì
shì 逝 shì
shì 释 shì
shì 铈 shì
shì 饰 shì
shì 𬤊 shì
shí 十 shí
shí 埘 shí
shí 实 shí
shí 拾 shí
shí 时 shí
shí 湜 shí
shí 炻 shí
shí 石 shí
shí 祏 shí
shí 莳 shí
shí 蚀 shí
shí 食 shí
shí 鲥 shí
shí 鼫 shí
shòu 兽 shòu
shòu 受 shòu
shòu 售 shòu
shòu 寿 shòu
shòu 授 shòu
shòu 狩 shòu
shòu 瘦 shòu
shòu 绶 shòu
shù 墅 shù
shù 庶 shù
shù 恕 shù
shù 戍 shù
shù 数 shù
shù 术 shù
shù 束 shù
shù 树 shù
shù 沭 shù
shù 漱 shù
shù 澍 shù
shù 竖 shù
shù 腧 shù
shù 述 shù
shù 隃 shù
shù 𬬸 shù
shùn 瞬 shùn
shùn 舜 shùn
shùn 顺 shùn
shú 塾 shú
shú 婌 shú
shú 孰 shú
shú 熟 shú
shú 秫 shú
shú 赎 shú
shā 刹 shā
shā 杀 shā
shā 沙 shā
shā 煞 shā
shā 痧 shā
shā 砂 shā
shā 纱 shā
shā 莎 shā
shā 裟 shā
shā 铩 shā
shā 鲨 shā
shē 奢 shē
shē 猞 shē
shē 畬 shē
shē 畲 shē
shē 赊 shē
shē 𪨶 shē
shě 舍 shě
shī 䴓 shī
shī 失 shī
shī 尸 shī
shī 师 shī
shī 施 shī
shī 浉 shī
shī 湿 shī
shī 狮 shī
shī 蓍 shī
shī 虱 shī
shī 诗 shī
shī 邿 shī
shī 鲺 shī
shī 鸤 shī
shī 𫚕 shī
shū 书 shū
shū 倏 shū
shū 叔 shū
shū 姝 shū
shū 抒 shū
shū 摅 shū
shū 枢 shū
shū 梳 shū
shū 殊 shū
shū 殳 shū
shū 毹 shū
shū 淑 shū
shū 疏 shū
shū 纾 shū
shū 舒 shū
shū 菽 shū
shū 蔬 shū
shū 输 shū
shū 鄃 shū
shū 陎 shū
shǎ 傻 shǎ
shǐ 使 shǐ
shǐ 史 shǐ
shǐ 始 shǐ
shǐ 屎 shǐ
shǐ 矢 shǐ
shǐ 豕 shǐ
shǐ 驶 shǐ
shǔ 属 shǔ
shǔ 暑 shǔ
shǔ 曙 shǔ
shǔ 署 shǔ
shǔ 薯 shǔ
shǔ 蜀 shǔ
shǔ 黍 shǔ
shǔ 鼠 shǔ
shāi 筛 shāi
shāi 酾 shāi
shān 删 shān
shān 埏 shān
shān 姗 shān
shān 山 shān
shān 杉 shān
shān 潸 shān
shān 煽 shān
shān 珊 shān
shān 膻 shān
shān 舢 shān
shān 芟 shān
shān 苫 shān
shān 衫 shān
shān 跚 shān
shān 钐 shān
shēn 伸 shēn
shēn 侁 shēn
shēn 呻 shēn
shēn 娠 shēn
shēn 屾 shēn
shēn 棽 shēn
shēn 深 shēn
shēn 燊 shēn
shēn 珅 shēn
shēn 甡 shēn
shēn 申 shēn
shēn 砷 shēn
shēn 绅 shēn
shēn 莘 shēn
shēn 诜 shēn
shēn 身 shēn
shēn 鲹 shēn
shēn 𬳽 shēn
shěn 哂 shěn
shěn 婶 shěn
shěn 审 shěn
shěn 沈 shěn
shěn 瞫 shěn
shěn 矧 shěn
shěn 谂 shěn
shǎn 晱 shǎn
shǎn 闪 shǎn
shǎn 陕 shǎn
shǔn 吮 shǔn
shāng 伤 shāng
shāng 商 shāng
shāng 墒 shāng
shāng 殇 shāng
shāng 熵 shāng
shāng 觞 shāng
shēng 升 shēng
shēng 声 shēng
shēng 昇 shēng
shēng 牲 shēng
shēng 生 shēng
shēng 甥 shēng
shēng 笙 shēng
shēng 陞 shēng
shěng 省 shěng
shěng 眚 shěng
shǎng 垧 shǎng
shǎng 晌 shǎng
shǎng 赏 shǎng
shāo 捎 shāo
shāo 梢 shāo
shāo 烧 shāo
shāo 稍 shāo
shāo 筲 shāo
shāo 艄 shāo
shāo 蛸 shāo
shǎo 少 shǎo
shōu 收 shōu
shǒu 守 shǒu
shǒu 手 shǒu
shǒu 艏 shǒu
shǒu 首 shǒu
suo 嗦 suo
suàn 算 suàn
suàn 蒜 suàn
suì 岁 suì
suì 旞 suì
suì 燧 suì
suì 璲 suì
suì 碎 suì
suì 祟 suì
suì 穗 suì
suì 穟 suì
suì 襚 suì
suì 谇 suì
suì 遂 suì
suì 邃 suì
suì 隧 suì
suì 𫟦 suì
suì 𬭼 suì
suí 绥 suí
suí 隋 suí
suí 随 suí
suò 溹 suò
suī 濉 suī
suī 眭 suī
suī 睢 suī
suī 荽 suī
suī 葰 suī
suī 虽 suī
suō 唆 suō
suō 嗍 suō
suō 娑 suō
suō 桫 suō
suō 梭 suō
suō 睃 suō
suō 缩 suō
suō 羧 suō
suō 蓑 suō
suǐ 髓 suǐ
suǒ 唢 suǒ
suǒ 所 suǒ
suǒ 琐 suǒ
suǒ 索 suǒ
suǒ 锁 suǒ
suān 狻 suān
suān 酸 suān
sà 卅 sà
sà 脎 sà
sà 萨 sà
sà 飒 sà
sài 赛 sài
sàn 散 sàn
sàng 丧 sàng
sào 埽 sào
sào 瘙 sào
sè 啬 sè
sè 洓 sè
sè 涩 sè
sè 瑟 sè
sè 璱 sè
sè 穑 sè
sè 色 sè
sè 铯 sè
sì 兕 sì
sì 嗣 sì
sì 四 sì
sì 姒 sì
sì 寺 sì
sì 巳 sì
sì 汜 sì
sì 泗 sì
sì 涘 sì
sì 祀 sì
sì 笥 sì
sì 耜 sì
sì 肆 sì
sì 饲 sì
sì 驷 sì
sòng 宋 sòng
sòng 讼 sòng
sòng 诵 sòng
sòng 送 sòng
sòng 颂 sòng
sòu 嗽 sòu
sù 傃 sù
sù 僳 sù
sù 嗉 sù
sù 塑 sù
sù 夙 sù
sù 宿 sù
sù 愫 sù
sù 涑 sù
sù 溯 sù
sù 簌 sù
sù 粟 sù
sù 素 sù
sù 肃 sù
sù 蔌 sù
sù 觫 sù
sù 诉 sù
sù 谡 sù
sù 蹜 sù
sù 速 sù
sù 骕 sù
sù 鹔 sù
sù 𫗧 sù
sú 俗 sú
sā 仨 sā
sā 挲 sā
sā 撒 sā
sī 㟃 sī
sī 丝 sī
sī 凘 sī
sī 厮 sī
sī 司 sī
sī 咝 sī
sī 嘶 sī
sī 思 sī
sī 撕 sī
sī 斯 sī
sī 楒 sī
sī 澌 sī
sī 私 sī
sī 缌 sī
sī 虒 sī
sī 蛳 sī
sī 锶 sī
sī 飔 sī
sī 鸶 sī
sū 甦 sū
sū 稣 sū
sū 窣 sū
sū 苏 sū
sū 酥 sū
sǎ 洒 sǎ
sǎ 潵 sǎ
sǎ 靸 sǎ
sǐ 死 sǐ
sāi 噻 sāi
sāi 塞 sāi
sāi 腮 sāi
sāi 鳃 sāi
sān 三 sān
sān 叁 sān
sān 毵 sān
sēn 森 sēn
sūn 孙 sūn
sūn 狲 sūn
sūn 荪 sūn
sūn 飧 sūn
sǎn 伞 sǎn
sǎn 糁 sǎn
sǎn 霰 sǎn
sǎn 馓 sǎn
sǔn 损 sǔn
sǔn 榫 sǔn
sǔn 笋 sǔn
sǔn 隼 sǔn
sāng 桑 sāng
sēng 僧 sēng
sōng 凇 sōng
sōng 娀 sōng
sōng 崧 sōng
sōng 嵩 sōng
sōng 忪 sōng
sōng 松 sōng
sōng 淞 sōng
sōng 菘 sōng
sǎng 嗓 sǎng
sǎng 搡 sǎng
sǎng 磉 sǎng
sǎng 颡 sǎng
sǒng 㧐 sǒng
sǒng 怂 sǒng
sǒng 悚 sǒng
sǒng 竦 sǒng
sǒng 耸 sǒng
sāo 搔 sāo
sāo 溞 sāo
sāo 缫 sāo
sāo 臊 sāo
sāo 骚 sāo
sǎo 嫂 sǎo
sǎo 扫 sǎo
sōu 嗖 sōu
sōu 廋 sōu
sōu 搜 sōu
sōu 溲 sōu
sōu 艘 sōu
sōu 蒐 sōu
sōu 螋 sōu
sōu 锼 sōu
sōu 飕 sōu
sōu 馊 sōu
sǒu 叟 sǒu
sǒu 嗾 sǒu
sǒu 擞 sǒu
sǒu 瞍 sǒu
sǒu 薮 sǒu
