shang 裳 shang
shuài 帅 shuài
shuò 烁 shuò
shuò 硕 shuò
shuǐ 水 shuǐ
shuāng 双 shuāng
shuāng 霜 shuāng
shàng 上 shàng
shàng 尚 shàng
shè 设 shè
shèng 剩 shèng
shèng 圣 shèng
shèng 盛 shèng
shèng 胜 shèng
shì 世 shì
shì 仕 shì
shì 势 shì
shì 士 shì
shì 是 shì
shì 示 shì
shì 识 shì
shì 试 shì
shì 适 shì
shì 释 shì
shí 十 shí
shí 实 shí
shí 拾 shí
shí 时 shí
shí 石 shí
shù 数 shù
shù 术 shù
shù 束 shù
shù 树 shù
shùn 顺 shùn
shā 沙 shā
shā 纱 shā
shā 莎 shā
shě 舍 shě
shī 师 shī
shī 诗 shī
shū 书 shū
shū 叔 shū
shū 姝 shū
shū 淑 shū
shū 舒 shū
shān 山 shān
shān 杉 shān
shēn 深 shēn
shēn 珅 shēn
shēn 申 shēn
shēng 升 shēng
shēng 声 shēng
shēng 生 shēng
shěng 省 shěng
shǎng 赏 shǎng
shāo 烧 shāo
shāo 稍 shāo
shǎo 少 shǎo
shǒu 守 shǒu
shǒu 首 shǒu
suàn 算 suàn
suì 岁 suì
suǒ 所 suǒ
sòng 送 sòng
sòng 颂 sòng
sù 素 sù
sù 速 sù
sú 俗 sú
sī 丝 sī
sī 司 sī
sī 思 sī
sū 苏 sū
sān 三 sān
sōng 松 sōng
