wa 哇 wa
wà 腽 wà
wà 袜 wà
wài 外 wài
wàn 万 wàn
wàn 妧 wàn
wàn 腕 wàn
wàn 𬇕 wàn
wàng 妄 wàng
wàng 忘 wàng
wàng 旺 wàng
wàng 望 wàng
wá 娃 wá
wán 丸 wán
wán 完 wán
wán 烷 wán
wán 玩 wán
wán 纨 wán
wán 芄 wán
wán 顽 wán
wáng 亡 wáng
wáng 王 wáng
wèi 为 wèi
wèi 位 wèi
wèi 卫 wèi
wèi 味 wèi
wèi 喂 wèi
wèi 尉 wèi
wèi 慰 wèi
wèi 未 wèi
wèi 渭 wèi
wèi 煟 wèi
wèi 猬 wèi
wèi 畏 wèi
wèi 碨 wèi
wèi 胃 wèi
wèi 蔚 wèi
wèi 螱 wèi
wèi 谓 wèi
wèi 霨 wèi
wèi 魏 wèi
wèi 鳚 wèi
wèi 𬭬 wèi
wèn 汶 wèn
wèn 璺 wèn
wèn 问 wèn
wèng 瓮 wèng
wèng 蕹 wèng
wéi 唯 wéi
wéi 围 wéi
wéi 圩 wéi
wéi 峗 wéi
wéi 嵬 wéi
wéi 帏 wéi
wéi 帷 wéi
wéi 惟 wéi
wéi 桅 wéi
wéi 沩 wéi
wéi 洈 wéi
wéi 涠 wéi
wéi 潍 wéi
wéi 琟 wéi
wéi 硙 wéi
wéi 维 wéi
wéi 违 wéi
wéi 闱 wéi
wéi 韦 wéi
wéi 𣲗 wéi
wéi 𬶏 wéi
wén 文 wén
wén 炆 wén
wén 玟 wén
wén 纹 wén
wén 芠 wén
wén 蚊 wén
wén 闻 wén
wén 阌 wén
wén 雯 wén
wén 𫘜 wén
wò 偓 wò
wò 卧 wò
wò 幄 wò
wò 握 wò
wò 斡 wò
wò 沃 wò
wò 涴 wò
wò 渥 wò
wò 硪 wò
wò 肟 wò
wò 龌 wò
wù 兀 wù
wù 务 wù
wù 勿 wù
wù 坞 wù
wù 婺 wù
wù 寤 wù
wù 屼 wù
wù 悟 wù
wù 戊 wù
wù 晤 wù
wù 杌 wù
wù 焐 wù
wù 物 wù
wù 痦 wù
wù 芴 wù
wù 误 wù
wù 迕 wù
wù 鋈 wù
wù 雾 wù
wù 靰 wù
wù 骛 wù
wù 鹜 wù
wú 吴 wú
wú 吾 wú
wú 唔 wú
wú 无 wú
wú 梧 wú
wú 毋 wú
wú 浯 wú
wú 珸 wú
wú 芜 wú
wú 蜈 wú
wú 郚 wú
wú 铻 wú
wú 鹀 wú
wú 鼯 wú
wā 娲 wā
wā 挖 wā
wā 洼 wā
wā 畖 wā
wā 窊 wā
wā 蛙 wā
wō 倭 wō
wō 挝 wō
wō 涡 wō
wō 窝 wō
wō 莴 wō
wō 蜗 wō
wō 踒 wō
wū 乌 wū
wū 呜 wū
wū 圬 wū
wū 屋 wū
wū 巫 wū
wū 污 wū
wū 洿 wū
wū 诬 wū
wū 邬 wū
wū 钨 wū
wǎ 佤 wǎ
wǎ 瓦 wǎ
wǒ 我 wǒ
wǔ 五 wǔ
wǔ 仵 wǔ
wǔ 伍 wǔ
wǔ 侮 wǔ
wǔ 午 wǔ
wǔ 呒 wǔ
wǔ 妩 wǔ
wǔ 庑 wǔ
wǔ 忤 wǔ
wǔ 怃 wǔ
wǔ 捂 wǔ
wǔ 旿 wǔ
wǔ 武 wǔ
wǔ 牾 wǔ
wǔ 珷 wǔ
wǔ 舞 wǔ
wǔ 鹉 wǔ
wǔ 𣲘 wǔ
wāi 歪 wāi
wēi 偎 wēi
wēi 危 wēi
wēi 威 wēi
wēi 巍 wēi
wēi 微 wēi
wēi 溦 wēi
wēi 煨 wēi
wēi 萎 wēi
wēi 葳 wēi
wēi 薇 wēi
wēi 逶 wēi
wēi 隈 wēi
wēi 鳂 wēi
wěi 亹 wěi
wěi 伟 wěi
wěi 伪 wěi
wěi 委 wěi
wěi 娓 wěi
wěi 尾 wěi
wěi 洧 wěi
wěi 炜 wěi
wěi 猥 wěi
wěi 玮 wěi
wěi 痿 wěi
wěi 硊 wěi
wěi 纬 wěi
wěi 艉 wěi
wěi 苇 wěi
wěi 薳 wěi
wěi 诿 wěi
wěi 韪 wěi
wěi 鲔 wěi
wěi 𫇭 wěi
wěi 𬀩 wěi
wěi 𬱟 wěi
wǎi 崴 wǎi
wān 剜 wān
wān 塆 wān
wān 婠 wān
wān 弯 wān
wān 湾 wān
wān 蜿 wān
wān 豌 wān
wēn 榅 wēn
wēn 温 wēn
wēn 瘟 wēn
wēn 蕰 wēn
wēn 辒 wēn
wēn 鳁 wēn
wěn 刎 wěn
wěn 吻 wěn
wěn 稳 wěn
wěn 紊 wěn
wǎn 婉 wǎn
wǎn 宛 wǎn
wǎn 惋 wǎn
wǎn 挽 wǎn
wǎn 晚 wǎn
wǎn 椀 wǎn
wǎn 琬 wǎn
wǎn 畹 wǎn
wǎn 皖 wǎn
wǎn 碗 wǎn
wǎn 绾 wǎn
wǎn 脘 wǎn
wǎn 菀 wǎn
wāng 尪 wāng
wāng 汪 wāng
wēng 嗡 wēng
wēng 滃 wēng
wēng 翁 wēng
wēng 鹟 wēng
wēng 𬭩 wēng
wěng 蓊 wěng
wǎng 往 wǎng
wǎng 惘 wǎng
wǎng 枉 wǎng
wǎng 网 wǎng
wǎng 罔 wǎng
wǎng 辋 wǎng
wǎng 魍 wǎng
