xià 夏 xià
xiàn 献 xiàn
xiàn 现 xiàn
xiàng 向 xiàng
xiàng 项 xiàng
xiào 校 xiào
xiào 笑 xiào
xiá 霞 xiá
xián 娴 xián
xián 贤 xián
xián 闲 xián
xióng 雄 xióng
xiù 秀 xiù
xiù 袖 xiù
xiū 休 xiū
xiū 修 xiū
xiān 仙 xiān
xiān 先 xiān
xiān 纤 xiān
xiān 鲜 xiān
xiǎn 显 xiǎn
xiāng 乡 xiāng
xiāng 相 xiāng
xiāng 香 xiāng
xiōng 兄 xiōng
xiǎng 想 xiǎng
xiāo 箫 xiāo
xiāo 萧 xiāo
xiǎo 晓 xiǎo
xuàn 炫 xuàn
xuán 玄 xuán
xué 学 xué
xuě 雪 xuě
xuān 宣 xuān
xuān 暄 xuān
xuān 瑄 xuān
xuān 萱 xuān
xuān 轩 xuān
xìn 信 xìn
xìng 兴 xìng
xìng 幸 xìng
xìng 杏 xìng
xí 习 xí
xí 席 xí
xí 袭 xí
xíng 行 xíng
xù 序 xù
xù 旭 xù
xùn 汛 xùn
xùn 迅 xùn
xùn 逊 xùn
xú 徐 xú
xún 寻 xún
xún 循 xún
xún 旬 xún
xī 兮 xī
xī 夕 xī
xī 希 xī
xī 悉 xī
xī 惜 xī
xī 昔 xī
xī 汐 xī
xī 溪 xī
xǐ 喜 xǐ
xǔ 许 xǔ
xīn 心 xīn
xīn 忻 xīn
xīn 新 xīn
xīn 昕 xīn
xīn 欣 xīn
xīn 辛 xīn
xīn 馨 xīn
xīng 星 xīng
xǐng 醒 xǐng
