ya 呀 ya
yuàn 垸 yuàn
yuàn 媛 yuàn
yuàn 怨 yuàn
yuàn 愿 yuàn
yuàn 掾 yuàn
yuàn 瑗 yuàn
yuàn 苑 yuàn
yuàn 院 yuàn
yuán 元 yuán
yuán 原 yuán
yuán 员 yuán
yuán 园 yuán
yuán 圆 yuán
yuán 垣 yuán
yuán 塬 yuán
yuán 嫄 yuán
yuán 援 yuán
yuán 橼 yuán
yuán 沅 yuán
yuán 湲 yuán
yuán 源 yuán
yuán 爰 yuán
yuán 猿 yuán
yuán 缘 yuán
yuán 羱 yuán
yuán 螈 yuán
yuán 袁 yuán
yuán 辕 yuán
yuán 鼋 yuán
yuán 𫘪 yuán
yuè 刖 yuè
yuè 岳 yuè
yuè 悦 yuè
yuè 月 yuè
yuè 樾 yuè
yuè 瀹 yuè
yuè 爚 yuè
yuè 玥 yuè
yuè 籥 yuè
yuè 粤 yuè
yuè 越 yuè
yuè 跃 yuè
yuè 钺 yuè
yuè 阅 yuè
yuè 龠 yuè
yuè 𫐄 yuè
yuè 𬸚 yuè
yuē 彟 yuē
yuē 曰 yuē
yuē 约 yuē
yuān 冤 yuān
yuān 渊 yuān
yuān 眢 yuān
yuān 箢 yuān
yuān 蜎 yuān
yuān 鸢 yuān
yuān 鸳 yuān
yuǎn 远 yuǎn
yà 亚 yà
yà 娅 yà
yà 揠 yà
yà 氩 yà
yà 猰 yà
yà 砑 yà
yà 讶 yà
yà 轧 yà
yà 迓 yà
yàn 厌 yàn
yàn 咽 yàn
yàn 唁 yàn
yàn 堰 yàn
yàn 墕 yàn
yàn 嬿 yàn
yàn 宴 yàn
yàn 彦 yàn
yàn 晏 yàn
yàn 滟 yàn
yàn 烻 yàn
yàn 焰 yàn
yàn 焱 yàn
yàn 燕 yàn
yàn 砚 yàn
yàn 艳 yàn
yàn 觃 yàn
yàn 谚 yàn
yàn 谳 yàn
yàn 赝 yàn
yàn 酽 yàn
yàn 雁 yàn
yàn 餍 yàn
yàn 验 yàn
yàng 怏 yàng
yàng 恙 yàng
yàng 样 yàng
yàng 漾 yàng
yàng 羕 yàng
yào 曜 yào
yào 耀 yào
yào 药 yào
yào 要 yào
yào 钥 yào
yào 靿 yào
yào 鹞 yào
yá 伢 yá
yá 堐 yá
yá 岈 yá
yá 崖 yá
yá 涯 yá
yá 牙 yá
yá 玡 yá
yá 琊 yá
yá 睚 yá
yá 芽 yá
yá 蚜 yá
yá 衙 yá
yán 严 yán
yán 妍 yán
yán 岩 yán
yán 延 yán
yán 檐 yán
yán 沿 yán
yán 炎 yán
yán 盐 yán
yán 研 yán
yán 筵 yán
yán 芫 yán
yán 虤 yán
yán 蜒 yán
yán 言 yán
yán 闫 yán
yán 阎 yán
yán 颜 yán
yán 𫄧 yán
yáng 佯 yáng
yáng 垟 yáng
yáng 徉 yáng
yáng 扬 yáng
yáng 旸 yáng
yáng 杨 yáng
yáng 洋 yáng
yáng 炀 yáng
yáng 烊 yáng
yáng 疡 yáng
yáng 羊 yáng
yáng 蛘 yáng
yáng 钖 yáng
yáng 阳 yáng
yáng 飏 yáng
yáo 垚 yáo
yáo 姚 yáo
yáo 媱 yáo
yáo 尧 yáo
yáo 峣 yáo
yáo 徭 yáo
yáo 摇 yáo
yáo 滧 yáo
yáo 爻 yáo
yáo 猺 yáo
yáo 珧 yáo
yáo 瑶 yáo
yáo 窑 yáo
yáo 繇 yáo
yáo 肴 yáo
yáo 谣 yáo
yáo 轺 yáo
yáo 遥 yáo
yáo 鳐 yáo
yè 业 yè
yè 叶 yè
yè 堨 yè
yè 夜 yè
yè 晔 yè
yè 曳 yè
yè 楪 yè
yè 液 yè
yè 烨 yè
yè 腋 yè
yè 谒 yè
yè 邺 yè
yè 靥 yè
yè 页 yè
yè 馌 yè
yé 揶 yé
yé 爷 yé
yé 耶 yé
yé 铘 yé
yì 㑊 yì
yì 乂 yì
yì 义 yì
yì 亦 yì
yì 亿 yì
yì 佚 yì
yì 佾 yì
yì 刈 yì
yì 劓 yì
yì 勚 yì
yì 呓 yì
yì 埸 yì
yì 奕 yì
yì 嫕 yì
yì 屹 yì
yì 峄 yì
yì 廙 yì
yì 异 yì
yì 弈 yì
yì 弋 yì
yì 役 yì
yì 忆 yì
yì 怿 yì
yì 悒 yì
yì 意 yì
yì 懿 yì
yì 抑 yì
yì 挹 yì
yì 易 yì
yì 杙 yì
yì 枍 yì
yì 殪 yì
yì 毅 yì
yì 浥 yì
yì 溢 yì
yì 潩 yì
yì 熠 yì
yì 燚 yì
yì 疫 yì
yì 瘗 yì
yì 癔 yì
yì 益 yì
yì 绎 yì
yì 缢 yì
yì 羿 yì
yì 翊 yì
yì 翌 yì
yì 翳 yì
yì 翼 yì
yì 肄 yì
yì 臆 yì
yì 艺 yì
yì 薏 yì
yì 蜴 yì
yì 螠 yì
yì 裔 yì
yì 裛 yì
yì 议 yì
yì 译 yì
yì 诣 yì
yì 谊 yì
yì 轶 yì
yì 逸 yì
yì 邑 yì
yì 镒 yì
yì 镱 yì
yì 驿 yì
yì 鹝 yì
yì 鹢 yì
yì 𫄷 yì
yì 𬟁 yì
yì 𬬩 yì
yìn 䲟 yìn
yìn 印 yìn
yìn 慭 yìn
yìn 胤 yìn
yìn 茚 yìn
yìng 媵 yìng
yìng 映 yìng
yìng 硬 yìng
yí 仪 yí
yí 匜 yí
yí 咦 yí
yí 圯 yí
yí 夷 yí
yí 姨 yí
yí 宜 yí
yí 宧 yí
yí 嶷 yí
yí 彝 yí
yí 怡 yí
yí 扅 yí
yí 椸 yí
yí 沂 yí
yí 疑 yí
yí 痍 yí
yí 眙 yí
yí 移 yí
yí 簃 yí
yí 胰 yí
yí 诒 yí
yí 贻 yí
yí 迤 yí
yí 遗 yí
yí 颐 yí
yí 饴 yí
yín 吟 yín
yín 嚚 yín
yín 垠 yín
yín 夤 yín
yín 寅 yín
yín 崟 yín
yín 淫 yín
yín 狺 yín
yín 珢 yín
yín 蟫 yín
yín 訚 yín
yín 鄞 yín
yín 银 yín
yín 霪 yín
yín 龂 yín
yíng 嬴 yíng
yíng 楹 yíng
yíng 溁 yíng
yíng 滢 yíng
yíng 潆 yíng
yíng 瀛 yíng
yíng 盈 yíng
yíng 茔 yíng
yíng 荧 yíng
yíng 莹 yíng
yíng 萤 yíng
yíng 营 yíng
yíng 萦 yíng
yíng 蓥 yíng
yíng 蝇 yíng
yíng 赢 yíng
yíng 迎 yíng
yòng 㶲 yòng
yòng 用 yòng
yòu 佑 yòu
yòu 侑 yòu
yòu 又 yòu
yòu 右 yòu
yòu 囿 yòu
yòu 宥 yòu
yòu 幼 yòu
yòu 柚 yòu
yòu 祐 yòu
yòu 蚴 yòu
yòu 诱 yòu
yòu 釉 yòu
yòu 鼬 yòu
yóng 喁 yóng
yóng 颙 yóng
yóu 尢 yóu
yóu 尤 yóu
yóu 油 yóu
yóu 浟 yóu
yóu 游 yóu
yóu 犹 yóu
yóu 猷 yóu
yóu 由 yóu
yóu 疣 yóu
yóu 莜 yóu
yóu 莸 yóu
yóu 蚰 yóu
yóu 蝣 yóu
yóu 邮 yóu
yóu 铀 yóu
yóu 鱿 yóu
yóu 鲉 yóu
yóu 𬨎 yóu
yù 喻 yù
yù 圫 yù
yù 域 yù
yù 堉 yù
yù 妪 yù
yù 寓 yù
yù 峪 yù
yù 彧 yù
yù 御 yù
yù 悆 yù
yù 愈 yù
yù 昱 yù
yù 棫 yù
yù 欲 yù
yù 毓 yù
yù 浴 yù
yù 淯 yù
yù 滪 yù
yù 潏 yù
yù 煜 yù
yù 燏 yù
yù 燠 yù
yù 狱 yù
yù 玉 yù
yù 矞 yù
yù 聿 yù
yù 育 yù
yù 芋 yù
yù 蓣 yù
yù 薁 yù
yù 蜮 yù
yù 裕 yù
yù 誉 yù
yù 谕 yù
yù 豫 yù
yù 遇 yù
yù 遹 yù
yù 郁 yù
yù 钰 yù
yù 阈 yù
yù 预 yù
yù 饫 yù
yù 驭 yù
yù 鬻 yù
yù 鹆 yù
yù 鹬 yù
yùn 孕 yùn
yùn 恽 yùn
yùn 愠 yùn
yùn 熨 yùn
yùn 蕴 yùn
yùn 运 yùn
yùn 郓 yùn
yùn 酝 yùn
yùn 韫 yùn
yùn 韵 yùn
yú 于 yú
yú 余 yú
yú 俞 yú
yú 妤 yú
yú 娱 yú
yú 嵎 yú
yú 嵛 yú
yú 愉 yú
yú 愚 yú
yú 揄 yú
yú 於 yú
yú 榆 yú
yú 欤 yú
yú 渔 yú
yú 渝 yú
yú 狳 yú
yú 玙 yú
yú 瑜 yú
yú 盂 yú
yú 禺 yú
yú 窬 yú
yú 竽 yú
yú 腴 yú
yú 臾 yú
yú 舁 yú
yú 舆 yú
yú 艅 yú
yú 萸 yú
yú 虞 yú
yú 蝓 yú
yú 褕 yú
yú 觎 yú
yú 谀 yú
yú 逾 yú
yú 邘 yú
yú 隅 yú
yú 雩 yú
yú 髃 yú
yú 鱼 yú
yún 云 yún
yún 匀 yún
yún 妘 yún
yún 昀 yún
yún 沄 yún
yún 涢 yún
yún 筠 yún
yún 筼 yún
yún 纭 yún
yún 耘 yún
yún 芸 yún
yún 郧 yún
yún 鋆 yún
yā 丫 yā
yā 压 yā
yā 吖 yā
yā 垭 yā
yā 押 yā
yā 桠 yā
yā 鸦 yā
yā 鸭 yā
yē 倻 yē
yē 噎 yē
yē 掖 yē
yē 椰 yē
yě 也 yě
yě 冶 yě
yě 野 yě
yī 一 yī
yī 伊 yī
yī 依 yī
yī 医 yī
yī 咿 yī
yī 噫 yī
yī 壹 yī
yī 揖 yī
yī 欹 yī
yī 洢 yī
yī 漪 yī
yī 猗 yī
yī 祎 yī
yī 繄 yī
yī 衣 yī
yī 铱 yī
yī 黟 yī
yō 哟 yō
yō 唷 yō
yū 淤 yū
yū 瘀 yū
yū 纡 yū
yū 迂 yū
yǎ 哑 yǎ
yǎ 雅 yǎ
yǐ 乙 yǐ
yǐ 以 yǐ
yǐ 佁 yǐ
yǐ 倚 yǐ
yǐ 已 yǐ
yǐ 扆 yǐ
yǐ 旖 yǐ
yǐ 椅 yǐ
yǐ 矣 yǐ
yǐ 舣 yǐ
yǐ 苡 yǐ
yǐ 蚁 yǐ
yǐ 踦 yǐ
yǐ 酏 yǐ
yǐ 钇 yǐ
yǐ 𫖮 yǐ
yǐ 𬺈 yǐ
yǔ 㺄 yǔ
yǔ 与 yǔ
yǔ 予 yǔ
yǔ 伛 yǔ
yǔ 俣 yǔ
yǔ 圄 yǔ
yǔ 圉 yǔ
yǔ 宇 yǔ
yǔ 屿 yǔ
yǔ 峿 yǔ
yǔ 庾 yǔ
yǔ 敔 yǔ
yǔ 瑀 yǔ
yǔ 瘐 yǔ
yǔ 禹 yǔ
yǔ 窳 yǔ
yǔ 羽 yǔ
yǔ 语 yǔ
yǔ 鄅 yǔ
yǔ 雨 yǔ
yǔ 龉 yǔ
yān 嫣 yān
yān 崦 yān
yān 恹 yān
yān 淹 yān
yān 湮 yān
yān 漹 yān
yān 烟 yān
yān 焉 yān
yān 胭 yān
yān 腌 yān
yān 鄢 yān
yān 阉 yān
yīn 喑 yīn
yīn 因 yīn
yīn 堙 yīn
yīn 姻 yīn
yīn 愔 yīn
yīn 歅 yīn
yīn 殷 yīn
yīn 氤 yīn
yīn 洇 yīn
yīn 溵 yīn
yīn 禋 yīn
yīn 茵 yīn
yīn 荫 yīn
yīn 铟 yīn
yīn 阴 yīn
yīn 音 yīn
yīn 骃 yīn
yīn 𬘡 yīn
yīn 𬤇 yīn
yīn 𬮱 yīn
yūn 晕 yūn
yūn 氲 yūn
yūn 煴 yūn
yūn 缊 yūn
yūn 赟 yūn
yūn 馧 yūn
yūn 𫖳 yūn
yǎn 䶮 yǎn
yǎn 俨 yǎn
yǎn 偃 yǎn
yǎn 兖 yǎn
yǎn 厣 yǎn
yǎn 奄 yǎn
yǎn 弇 yǎn
yǎn 戭 yǎn
yǎn 扊 yǎn
yǎn 掩 yǎn
yǎn 棪 yǎn
yǎn 沇 yǎn
yǎn 渰 yǎn
yǎn 演 yǎn
yǎn 琰 yǎn
yǎn 甗 yǎn
yǎn 眼 yǎn
yǎn 罨 yǎn
yǎn 蝘 yǎn
yǎn 衍 yǎn
yǎn 郾 yǎn
yǎn 魇 yǎn
yǎn 黡 yǎn
yǎn 鼹 yǎn
yǎn 𪩘 yǎn
yǎn 𬙂 yǎn
yǎn 𬸘 yǎn
yǐn 吲 yǐn
yǐn 尹 yǐn
yǐn 引 yǐn
yǐn 瘾 yǐn
yǐn 蚓 yǐn
yǐn 隐 yǐn
yǐn 饮 yǐn
yǔn 允 yǔn
yǔn 殒 yǔn
yǔn 狁 yǔn
yǔn 陨 yǔn
yāng 咉 yāng
yāng 央 yāng
yāng 殃 yāng
yāng 泱 yāng
yāng 秧 yāng
yāng 鞅 yāng
yāng 鸯 yāng
yīng 䓨 yīng
yīng 嘤 yīng
yīng 婴 yīng
yīng 媖 yīng
yīng 应 yīng
yīng 撄 yīng
yīng 樱 yīng
yīng 瑛 yīng
yīng 璎 yīng
yīng 缨 yīng
yīng 罂 yīng
yīng 膺 yīng
yīng 英 yīng
yīng 莺 yīng
yīng 锳 yīng
yīng 鹦 yīng
yīng 鹰 yīng
yōng 佣 yōng
yōng 墉 yōng
yōng 壅 yōng
yōng 庸 yōng
yōng 慵 yōng
yōng 拥 yōng
yōng 澭 yōng
yōng 痈 yōng
yōng 臃 yōng
yōng 邕 yōng
yōng 鄘 yōng
yōng 镛 yōng
yōng 雍 yōng
yōng 饔 yōng
yōng 鳙 yōng
yǎng 仰 yǎng
yǎng 养 yǎng
yǎng 氧 yǎng
yǎng 痒 yǎng
yǐng 影 yǐng
yǐng 瘿 yǐng
yǐng 郢 yǐng
yǐng 颍 yǐng
yǐng 颖 yǐng
yǒng 俑 yǒng
yǒng 勇 yǒng
yǒng 咏 yǒng
yǒng 埇 yǒng
yǒng 恿 yǒng
yǒng 栐 yǒng
yǒng 永 yǒng
yǒng 泳 yǒng
yǒng 涌 yǒng
yǒng 甬 yǒng
yǒng 蛹 yǒng
yǒng 踊 yǒng
yǒng 鲬 yǒng
yāo 㙘 yāo
yāo 吆 yāo
yāo 夭 yāo
yāo 妖 yāo
yāo 幺 yāo
yāo 腰 yāo
yāo 邀 yāo
yǎo 咬 yǎo
yǎo 崾 yǎo
yǎo 杳 yǎo
yǎo 窅 yǎo
yǎo 窈 yǎo
yǎo 舀 yǎo
yōu 优 yōu
yōu 呦 yōu
yōu 幽 yōu
yōu 忧 yōu
yōu 悠 yōu
yōu 攸 yōu
yōu 耰 yōu
yōu 麀 yōu
yǒu 卣 yǒu
yǒu 友 yǒu
yǒu 有 yǒu
yǒu 槱 yǒu
yǒu 牖 yǒu
yǒu 羑 yǒu
yǒu 莠 yǒu
yǒu 酉 yǒu
yǒu 铕 yǒu
yǒu 黝 yǒu
